combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
206,3,1.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
207,3,1.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
208,3,1.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
209,3,1.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
210,3,1.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
211,3,1.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
212,3,1.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
213,3,1.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
214,3,1.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
215,3,1.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
216,3,1.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
217,3,2.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
218,3,2.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
219,3,2.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
220,3,2.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
221,3,2.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
222,3,2.0,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
223,3,2.0,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
224,3,2.0,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
225,3,2.5,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
226,3,2.5,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
227,3,2.5,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
228,3,2.5,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
229,3,2.5,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
230,3,2.5,0.6,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
231,3,2.5,0.8,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
232,3,2.5,0.8,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
233,3,3.0,0.2,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
234,3,3.0,0.2,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
235,3,3.0,0.4,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
236,3,3.0,0.4,staggered,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
237,3,3.0,0.6,traditional,-5104.5,5142.4000000000515,-0.99,73,39.73,6,-11.46
