combination,minutes,target,trailing,trailing type,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
396,10,4.0,0.4,staggered,-2575.5,5356.049999999555,-0.48,211,65.88,5,-0.58
397,10,4.0,0.6,traditional,-2494.6,4976.9499999995805,-0.5,250,65.6,5,-0.45
398,10,4.0,0.6,staggered,-1664.6,4075.649999999564,-0.41,224,61.61,5,-0.2
399,10,4.0,0.8,traditional,1564.5,3135.649999999845,0.5,254,62.6,6,0.72
400,10,4.0,0.8,staggered,1909.5,2804.7499999998527,0.68,245,61.22,6,0.83
401,10,6.0,0.2,traditional,-3215.5,4435.949999999194,-0.72,245,78.78,3,-1.01
402,10,6.0,0.2,staggered,-2940.5,4839.149999999144,-0.61,198,73.23,4,-0.93
403,10,6.0,0.4,traditional,-3280.5,5521.949999999459,-0.59,249,65.46,5,-0.69
404,10,6.0,0.4,staggered,-1325.5,3653.549999999579,-0.36,214,59.81,5,-0.09
405,10,6.0,0.6,traditional,2429.5,3045.4499999998807,0.8,255,61.18,6,0.87
406,10,6.0,0.6,staggered,2169.5,3034.7499999998417,0.71,221,55.2,6,0.85
407,10,6.0,0.8,traditional,1564.5,3834.7499999998454,0.41,255,55.69,6,0.61
408,10,6.0,0.8,staggered,1749.5,3634.749999999858,0.48,238,52.52,6,0.67
409,10,8.0,0.2,traditional,-5070.5,6435.9499999990985,-0.79,254,72.05,5,-1.51
410,10,8.0,0.2,staggered,-2645.5,5959.149999999237,-0.44,211,65.88,5,-0.57
411,10,8.0,0.4,traditional,514.5,3155.649999999814,0.16,254,62.6,6,0.4
412,10,8.0,0.4,staggered,1999.5,2794.74999999982,0.72,212,55.19,6,0.79
413,10,8.0,0.6,traditional,1289.5,3644.7499999998345,0.35,255,55.69,6,0.52
414,10,8.0,0.6,staggered,2024.5,3963.5499999996264,0.51,222,49.1,6,0.7
415,10,8.0,0.8,traditional,7048.6,2992.749999999898,2.36,253,51.38,8,1.6
416,10,8.0,0.8,staggered,7473.6,3037.749999999891,2.46,242,49.17,8,1.71
417,10,10.0,0.2,traditional,-1995.5,4918.049999999515,-0.41,249,70.28,5,-0.32
418,10,10.0,0.2,staggered,39.5,4206.249999999533,0.01,211,64.93,5,0.35
419,10,10.0,0.4,traditional,769.5,4034.7499999997854,0.19,253,58.1,6,0.41
420,10,10.0,0.4,staggered,1268.6,4723.549999999577,0.27,209,49.28,6,0.54
421,10,10.0,0.6,traditional,6797.7,3801.3499999998967,1.79,251,51.79,8,1.5
422,10,10.0,0.6,staggered,7616.8,4233.849999999826,1.8,227,46.7,8,1.7
423,10,10.0,0.8,traditional,7277.7,4299.749999999816,1.69,252,47.22,8,1.5
424,10,10.0,0.8,staggered,7511.8,4439.749999999825,1.69,241,45.23,8,1.57
425,10,12.0,0.2,traditional,-2250.5,5544.4499999995505,-0.41,249,65.46,5,-0.35
426,10,12.0,0.2,staggered,-65.5,3956.249999999509,-0.02,214,59.81,5,0.27
427,10,12.0,0.4,traditional,1789.5,4034.749999999827,0.44,255,55.69,6,0.59
428,10,12.0,0.4,staggered,2613.6,4753.54999999957,0.55,216,47.22,6,0.77
429,10,12.0,0.6,traditional,7972.7,4189.7499999998145,1.9,253,49.41,8,1.58
430,10,12.0,0.6,staggered,8481.8,4369.749999999805,1.94,233,45.49,8,1.7
431,10,12.0,0.8,traditional,6566.8,5414.749999999822,1.21,251,43.82,9,1.27
432,10,12.0,0.8,staggered,6346.8,5494.74999999982,1.16,245,42.45,9,1.25
