combination,minutes,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
34,1.0,1.0,6.0,20.0,-769.8,1514.1499999999942,-0.51,203.0,70.94,4.0,0.06
35,1.0,1.0,6.0,30.0,521.6,700.8500000000004,0.74,74.0,78.38,2.0,1.27
36,1.0,1.0,6.0,40.0,373.3,430.14999999999964,0.87,37.0,81.08,2.0,1.13
37,1.0,1.0,8.0,10.0,-779.9,1542.4499999999916,-0.51,239.0,70.71,4.0,0.17
38,1.0,1.0,8.0,20.0,-769.8,1514.1499999999942,-0.51,203.0,70.94,4.0,0.06
39,1.0,1.0,8.0,30.0,521.6,700.8500000000004,0.74,74.0,78.38,2.0,1.27
40,1.0,1.0,8.0,40.0,373.3,430.14999999999964,0.87,37.0,81.08,2.0,1.13
41,1.0,1.0,10.0,10.0,-779.9,1542.4499999999916,-0.51,239.0,70.71,4.0,0.17
42,1.0,1.0,10.0,20.0,-769.8,1514.1499999999942,-0.51,203.0,70.94,4.0,0.06
43,1.0,1.0,10.0,30.0,521.6,700.8500000000004,0.74,74.0,78.38,2.0,1.27
44,1.0,1.0,10.0,40.0,373.3,430.14999999999964,0.87,37.0,81.08,2.0,1.13
45,1.0,1.0,12.0,10.0,-734.0,1517.6499999999924,-0.48,240.0,70.83,4.0,0.21
46,1.0,1.0,12.0,20.0,-723.9,1489.349999999995,-0.49,204.0,71.08,4.0,0.1
47,1.0,1.0,12.0,30.0,567.5,676.0499999999993,0.84,75.0,78.67,2.0,1.34
48,1.0,1.0,12.0,40.0,419.2,405.35000000000036,1.03,38.0,81.58,2.0,1.24
49,1.0,1.5,2.0,10.0,-1118.6,1402.1999999999953,-0.8,96.0,52.08,6.0,-0.85
50,1.0,1.5,2.0,20.0,-653.4,884.0999999999985,-0.74,74.0,54.05,4.0,-0.47
51,1.0,1.5,2.0,30.0,-111.3,411.90000000000146,-0.27,18.0,55.56,3.0,-0.1
52,1.0,1.5,2.0,40.0,229.9,222.75,1.03,11.0,72.73,2.0,0.97
53,1.0,1.5,4.0,10.0,-955.7,1738.749999999991,-0.55,227.0,61.23,5.0,-0.02
54,1.0,1.5,4.0,20.0,-891.3,1677.049999999992,-0.53,193.0,61.66,4.0,-0.07
55,1.0,1.5,4.0,30.0,979.6,522.1500000000015,1.88,69.0,72.46,2.0,1.61
56,1.0,1.5,4.0,40.0,827.4,414.14999999999964,2.0,36.0,77.78,2.0,1.77
57,1.0,1.5,6.0,10.0,-104.89999999999998,1292.8499999999985,-0.08,239.0,63.18,5.0,0.6
58,1.0,1.5,6.0,20.0,-182.29999999999995,1302.0499999999975,-0.14,203.0,63.55,4.0,0.47
59,1.0,1.5,6.0,30.0,1334.1,476.4500000000007,2.8,74.0,74.32,2.0,2.07
60,1.0,1.5,6.0,40.0,898.3,368.4500000000007,2.44,37.0,78.38,2.0,1.9
61,1.0,1.5,8.0,10.0,-104.89999999999998,1292.8499999999985,-0.08,239.0,63.18,5.0,0.6
62,1.0,1.5,8.0,20.0,-182.29999999999995,1302.0499999999975,-0.14,203.0,63.55,4.0,0.47
63,1.0,1.5,8.0,30.0,1334.1,476.4500000000007,2.8,74.0,74.32,2.0,2.07
